Source Page,Event Date,Number of Shows,Headliner,Support,Venue,City,State,Country,Market,Venue Type,Currency,Promoter,Genre,Tickets Sold,Gross USD,Event Capacity,Capacity Sold %,Min Price USD,Max Price USD,Avg Price USD,Actions
Page 2,4/9/2024,1,"""The Price Is Right - Live""",,Mayo Performing Arts Center,Morristown,New Jersey,United States,New York,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Family Entertainment,"1,254",68052.00,"1,254",100%,44.00,74.00,54.27,
Page 2,4/9/2024,1,Colin Hay,,Johnson Hall,Gardiner,Maine,United States,Portland-Auburn,Auditorium / Theatre,US DOLLAR,Bloom Arts & Events,Pop / Rock,400,27441.64,400,100%,65.00,70.00,68.60,
Page 2,4/9/2024,1,Jordan B. Peterson,,Radio City Music Hall,New York,New York,United States,New York,Auditorium / Theatre,US DOLLAR,Live Nation,Spoken Word,"5,741",479544.50,"5,958",96%,56.50,157.00,83.53,
Page 2,4/9/2024,1,Peter Frampton,,Eccles Theater,Salt Lake City,Utah,United States,Salt Lake City,Auditorium / Theatre,US DOLLAR,"LiveCo, MagicSpace Entertainment",Pop / Rock,"1,599",170110.00,"2,367",67%,55.00,250.00,106.39,
Page 2,4/9/2024,1,Tom Keifer,,Ramona Mainstage,Ramona,California,United States,San Diego,Club,US DOLLAR,(In-House Promotion),Pop / Rock,230,12690.00,500,46%,55.00,60.00,55.17,
Page 2,4/9/2024,1,Bang YongGuk,,Avondale Music Hall,Chicago,Illinois,United States,Chicago,Club,US DOLLAR,Sean Healy Presents,Rap / HipHop,289,14650.00,800,36%,35.00,65.00,50.69,
Page 2,4/9/2024,1,Jessie Murph,,The Andrew J Brady Icon Music Center,Cincinnati,Ohio,United States,Cincinnati,Auditorium / Theatre,US DOLLAR,"(In-House Promotion), Live Nation",Pop / Rock,"4,287",141527.00,"4,287",100%,26.00,26.00,33.01,
Page 2,4/9/2024,1,Joe Bonamassa,,Lanxess Arena,Cologne,,Germany,,Arena,Euro,DMC Musikmarketing,Blues,"4,447",426636.56,"4,451",99%,61.88,218.19,95.94,
Page 2,4/9/2024,1,Mirror,,Peacock Theater,Los Angeles,California,United States,Los Angeles,Auditorium / Theatre,US DOLLAR,Joy Entertainment,Pop / Rock,"1,897",470031.00,"4,288",44%,134.00,394.00,247.78,
Page 2,4/9/2024,1,Buddy Guy,Bobby Rush,Hackensack Meridian Health Theatre,Red Bank,New Jersey,United States,New York,Auditorium / Theatre,US DOLLAR,(In-House Promotion),Blues,"1,414",118695.00,"1,568",90%,49.00,119.50,83.94,
Page 2,4/9/2024,7,"""Tony N' Tina's Wedding""",,The Vogel,Red Bank,New Jersey,United States,New York,Club,US DOLLAR,The Basie Presents,Theatrical,191,15567.00,"1,591",12%,59.00,125.00,81.32,
Page 2,4/9/2024,1,Caroline Rose,La Force,Le Studio TD,Montreal,Quebec,Canada,,Auditorium / Theatre,Canadian,"(In-House Promotion), Evenko, Greenland Events Inc","Folk, Pop / Rock",239,5302.70,630,37%,22.09,24.29,22.19,
Page 2,4/9/2024,1,Giant Rooks,,Théâtre Beanfield,Montreal,Quebec,Canada,,Club,Canadian,"(In-House Promotion), Evenko, Greenland Events Inc",Pop / Rock,762,16902.68,"1,016",75%,22.09,25.77,22.18,
Page 2,4/9/2024,1,Luidji,,MTELUS,Montreal,Quebec,Canada,,Club,Canadian,"(In-House Promotion), Evenko, Greenland Events Inc",Uncategorized,"2,218",72741.91,"2,218",100%,33.13,40.49,32.80,
Page 2,4/9/2024,1,Gala Comédie Star 2023,,L'Etoile | Salle de spectacle,Brossard,Quebec,Canada,,Auditorium / Theatre,Canadian,"(In-House Promotion), Evenko",Comedy,483,13967.74,977,49%,28.71,30.92,28.92,
