month,category,Volume
2022-03-01 00:00:00,World,36800
2023-11-01 00:00:00,Politics,413346
2024-04-01 00:00:00,Crypto,733335
2024-04-01 00:00:00,Climate and Weather,1025529
2025-10-01 00:00:00,Health,269795
2024-08-01 00:00:00,Health,39292
2022-09-01 00:00:00,Entertainment,0
2025-04-01 00:00:00,Elections,2567134
2022-03-01 00:00:00,Science and Technology,4104
2025-10-01 00:00:00,Transportation,37556
2024-12-01 00:00:00,Financials,6769913
2025-09-01 00:00:00,Transportation,47590
2022-10-01 00:00:00,Transportation,24803
2025-12-01 00:00:00,Health,1879262
2025-11-01 00:00:00,Politics,184015277
2026-03-01 00:00:00,Politics,160628750
2022-08-01 00:00:00,Climate and Weather,1044796
2023-06-01 00:00:00,Transportation,4818
2021-12-01 00:00:00,Transportation,99128
2023-12-01 00:00:00,Financials,11356339
2023-08-01 00:00:00,Economics,1428892
2025-05-01 00:00:00,Elections,4774145
2021-09-01 00:00:00,World,155099
2021-10-01 00:00:00,Climate and Weather,392564
2023-02-01 00:00:00,Climate and Weather,492685
2024-06-01 00:00:00,Financials,19535202
2024-08-01 00:00:00,Transportation,55071
2025-09-01 00:00:00,Science and Technology,3445918
2026-04-01 00:00:00,Exotics,1164567534.47
2024-03-01 00:00:00,Entertainment,961676
2024-08-01 00:00:00,Companies,138312
2025-04-01 00:00:00,Health,120592
2025-01-01 00:00:00,Health,139451
2022-02-01 00:00:00,Economics,581367
2022-01-01 00:00:00,Politics,363984
2025-10-01 00:00:00,Companies,6010210
2024-07-01 00:00:00,Science and Technology,69655
2024-07-01 00:00:00,Companies,201387
2026-02-01 00:00:00,Crypto,786959033
2025-11-01 00:00:00,Elections,54763276
2022-05-01 00:00:00,Entertainment,14686
2022-10-01 00:00:00,Health,107097
2023-06-01 00:00:00,Health,2726
2025-10-01 00:00:00,Sports,3954805145
2025-09-01 00:00:00,Mentions,4854628
2026-01-01 00:00:00,World,1974651
2024-09-01 00:00:00,Politics,1020152
2021-08-01 00:00:00,Health,377216
2023-04-01 00:00:00,Companies,3905
2024-03-01 00:00:00,Economics,3590993
2025-03-01 00:00:00,Companies,1108403
2026-04-01 00:00:00,World,1946985.4299999997
2021-07-01 00:00:00,Transportation,44444
2024-12-01 00:00:00,Transportation,153973
2025-08-01 00:00:00,Sports,657602488
2025-01-01 00:00:00,Mentions,22124
2026-03-01 00:00:00,Education,0
2024-05-01 00:00:00,Economics,4334915
2025-06-01 00:00:00,Health,90528
2022-09-01 00:00:00,Transportation,18367
2025-08-01 00:00:00,Climate and Weather,14348033
2021-11-01 00:00:00,Transportation,132297
2026-02-01 00:00:00,Financials,23983373
2022-06-01 00:00:00,World,164971
2025-08-01 00:00:00,Education,3311
2025-01-01 00:00:00,Crypto,31330149
2022-10-01 00:00:00,Science and Technology,2352
2022-03-01 00:00:00,Health,367250
2022-05-01 00:00:00,Science and Technology,2840
2024-03-01 00:00:00,World,20537
2025-03-01 00:00:00,Sports,405885156
2022-07-01 00:00:00,Politics,472144
2023-11-01 00:00:00,Financials,16644413
2023-03-01 00:00:00,Economics,2177228
2024-03-01 00:00:00,Health,13953
2025-12-01 00:00:00,Entertainment,83256830
2025-11-01 00:00:00,World,1473848
2025-08-01 00:00:00,Financials,13061895
2025-12-01 00:00:00,Politics,85484056
2021-11-01 00:00:00,Science and Technology,84509
2023-01-01 00:00:00,Financials,2535368
2023-05-01 00:00:00,Science and Technology,9355
2025-05-01 00:00:00,Transportation,73197
2026-02-01 00:00:00,Transportation,126
2024-05-01 00:00:00,World,7977
2024-02-01 00:00:00,Politics,269454
2025-06-01 00:00:00,Entertainment,6790724
2026-01-01 00:00:00,Economics,52065059
2025-02-01 00:00:00,Economics,3522424
2022-03-01 00:00:00,Entertainment,407989
2022-04-01 00:00:00,Economics,903315
2024-03-01 00:00:00,Politics,347072
2021-09-01 00:00:00,Economics,81858
2022-12-01 00:00:00,World,1747
2022-11-01 00:00:00,Politics,408142
2022-11-01 00:00:00,Health,116359
2026-01-01 00:00:00,Financials,27021959
2023-11-01 00:00:00,Health,11189
2024-10-01 00:00:00,Financials,5608502
2022-02-01 00:00:00,Entertainment,182585
2022-09-01 00:00:00,Economics,1823406
2024-01-01 00:00:00,Financials,12504435
2025-10-01 00:00:00,Entertainment,40719382
2025-08-01 00:00:00,Politics,24947125
2025-06-01 00:00:00,Science and Technology,1708745
2026-03-01 00:00:00,Elections,29695259
2023-06-01 00:00:00,Companies,1879
2025-09-01 00:00:00,Education,2488
2023-04-01 00:00:00,Transportation,3436
2025-08-01 00:00:00,Transportation,58909
2025-07-01 00:00:00,World,603881
2025-09-01 00:00:00,Health,187950
2024-10-01 00:00:00,Climate and Weather,3338197
2026-01-01 00:00:00,Climate and Weather,112782423
2026-03-01 00:00:00,Health,202868
2025-06-01 00:00:00,World,492033
2024-02-01 00:00:00,Economics,2587112
2026-02-01 00:00:00,Entertainment,278866322
2022-08-01 00:00:00,Science and Technology,9673
2023-05-01 00:00:00,Health,8061
2023-04-01 00:00:00,Science and Technology,7387
2024-11-01 00:00:00,Economics,4320956
2024-02-01 00:00:00,Entertainment,684357
2022-01-01 00:00:00,Health,1267326
2022-08-01 00:00:00,World,18634
2025-03-01 00:00:00,Crypto,31006618
2025-12-01 00:00:00,Science and Technology,23668373
2025-07-01 00:00:00,Crypto,61152496
2025-01-01 00:00:00,Sports,6810523
2022-12-01 00:00:00,Politics,335747
2024-04-01 00:00:00,Entertainment,1073239
2024-10-01 00:00:00,Entertainment,1047880
2025-03-01 00:00:00,World,29983
2023-08-01 00:00:00,Entertainment,172493
2025-04-01 00:00:00,Politics,36049662
2021-11-01 00:00:00,Health,417855
2023-06-01 00:00:00,Climate and Weather,494928
2025-10-01 00:00:00,Elections,23320457
2025-05-01 00:00:00,Politics,14751483
2023-03-01 00:00:00,Entertainment,170476
2025-10-01 00:00:00,Social,1034651
2026-04-01 00:00:00,Economics,52372062.56999998
2026-02-01 00:00:00,Exotics,90152295
2023-07-01 00:00:00,Financials,15340636
2022-10-01 00:00:00,Economics,1490737
2026-03-01 00:00:00,Climate and Weather,88888381
2025-04-01 00:00:00,Mentions,827209
2025-12-01 00:00:00,Education,159
